0.456936;0
0.055033;0
0.054316;0
0.025005;0
0.054072;0
0.054839;0
0.054551;0
0.055046;0
0.024504;0
0.053046;0
0.024001;0
0.023501;0
0.055055;0
0.023503;0
0.023003;0
0.054551;0
0.024001;0
0.023502;0
0.024001;0
0.023501;0
0.054063;0
0.024002;0
0.055055;0
0.025002;0
0.05456;0
0.024001;0
0.022999;0
0.054965;0
0.024505;0
0.023503;0
0.023001;0
0.023501;0
0.024002;0
0.023501;0
0.05455;0
0.024503;0
0.055557;0
0.024002;0
0.054437;0
0.024511;0
0.055057;0
0.024002;0
0.023003;0
0.023004;0
0.023501;0
0.02351;0
0.023001;0
0.024502;0
0.054536;0
0.023999;0
0.023501;0
0.023502;0
0.023501;0
0.023502;0
0.054596;0
0.024009;0
0.023002;0
0.023001;0
0.024;0
0.05656;0
0.055424;0
0.024004;0
0.024;0
0.023502;0
0.055058;0
0.024003;0
0.023501;0
0.023503;0
0.053892;0
0.024517;0
0.023502;0
0.023508;0
0.023001;0
0.0245;0
0.023504;0
0.054308;0
0.023502;0
0.054047;0
0.024;0
0.055501;0
0.054;0
0.054001;0
0.053491;0
0.054546;0
0.024518;0
0.055036;0
0.055017;0
0.055554;0
0.024001;0
0.024001;0
0.023002;0
0.054072;0
0.025005;0
0.023513;0
0.023001;0
0.054563;0
0.024001;0
0.023504;0
0.024;0
0.023501;0
