0.146;0
0.084;0
0.081503;0
0.081503;0
0.081501;0
0.081499;0
0.081501;0
0.082008;0
0.0825;0
0.0815;0
0.081501;0
0.082501;0
0.052502;0
0.051501;0
0.053002;0
0.084001;0
0.082501;0
0.0835;0
0.0835;0
0.083;0
0.084;0
0.053001;0
0.083001;0
0.083;0
0.083503;0
0.0565;0
0.052501;0
0.082501;0
0.084501;0
0.083501;0
0.082999;0
0.082999;0
0.083001;0
0.083499;0
0.0845;0
0.083001;0
0.0835;0
0.084001;0
0.083504;0
0.084002;0
0.083;0
0.083501;0
0.083001;0
0.083001;0
0.083999;0
0.084501;0
0.085001;0
0.0855;0
0.084005;0
0.0845;0
0.085;0
0.085001;0
0.084;0
0.085502;0
0.085001;0
0.085001;0
0.085001;0
0.085002;0
0.085002;0
0.084501;0
0.085001;0
0.086001;0
0.085502;0
0.084504;0
0.085001;0
0.085;0
0.085;0
0.085503;0
0.086001;0
0.084001;0
0.085001;0
0.085501;0
0.086;0
0.085501;0
0.085502;0
0.085502;0
0.085001;0
0.086;0
0.085001;0
0.086001;0
0.086;0
0.086002;0
0.085001;0
0.085999;0
0.085001;0
0.086001;0
0.086;0
0.085501;0
0.085002;0
0.086;0
0.085501;0
0.0855;0
0.0855;0
0.085503;0
0.085001;0
0.085001;0
0.084501;0
0.085501;0
0.0855;0
0.0855;0
